ID,Title,Authors,Source Title,Publication Year,Volume,Issue,Supplement ,Beginning Page,Ending Page,DOI,Total Citations,Conference Title,Conference Date ,Exclude (y/n),Plant genotype origin,Continent,latitude,longitude,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6,Ecosystem,type of experiment,method primary,method secondary,hypothesis,secondary hypothesis,comments,Replicates ,Fitness measured (y/n),Proxy
1,Separating sources of density-independent establishment limitation in invading species,"Spotswood, Erica N; Mariotte, Pierre; Farrer, Emily C; Nichols, Liana; Suding, Katharine N",Journal of Ecology,2017,105,2,,436,444,10.1111/1365-2745.12686 ,1,,,,USA,North America ,39¡15«N,0121¡17«W,"University of California Sierra Foothill Research and Extension Centre, Yuba, California",,,,,,"mediterranean, pasture dominated by introduced forage grasses",manipulative,in situ,"collection, estimations, counting, soil probes (moisture), harvesting, drying, weighting ",establishment limitation,recruitment ,"Recruitment was affected by both density dependent and density independent sources of establishment limitation. Soil moisture stress and productivity both increased density independent mortality in one species, whereas density dependent mortality increased in locations with favourable soil moisture. ",1,y,"stem, seed, biomass"
2,Phytochemical and cytogenetic characterization of Centaurea solstitialis L. (Asteraceae) from Croatia,"Carev, Ivana; Ruscic, Mirko; Skocibusic, Mirjana; Maravic, Ana; Silijak-Yakovlev, Sonja; Politeo, Olivera ",Chemistry and Biodiversity ,2017,14,2,,e1600213,,10.1002/cbdv.201600213 ,0,,,,Croatia,Europe,,,University of Split,,,,,,laboratory,manipulative,ex situ,"calculating 2C DNA value, detection of GC rich DNA regions (FISH), epifluorescence microscope, highly sensitive CCD camera, counting, identification of volatile oil chemical composition,  test for antimicrobial and antioxidant activity",karyotyping and genome size ,antimicrobial and antioxidant activity,Volatile oil revealed the best inhibitory potential against bacteria Pseudomonas aeruginosa which is one of the leading nosocomial pathogens and is often resistant to many classes of antibiotics. Tested fungi were all sensitive to a volatile oil close to an inhibitory activity of standard antifungal agent. Microdilution method showed the best activity of volatile oil against bacterium Chronobacter sakazakii as well as against microfungi Aspergillus fumigatus.  ,,n,
3,Population genomic analyses reveal a history of range expansion and trait evolution across the native and invaded range of yellow starthistle (Centaurea solstitialis) ,"Barker, Britanny S; Andonian, Krikor; Swope, Sarah M; Luster, Douglas, G; Dlugosch, Katrina M",Molecular Ecology,2017,26,4,,1131,1147,10.1111/mec.13998 ,0,,,,"Argentina, USA, Chile, Spain, France, Italy, Greece, Hungary, Bulgaria, Romania, Turkey, Ukraine, Russia, Armenia, Uzbekistan ","North America, South America, Europe, Eurasia, Asia",,,"University of Arizona, Tucson",,,,,,greenhouse/laboratory,manipulative,ex situ,"genomic DNA extraction, ddRADseq library preparation, NGS sequencing, SNPs detection and validation",invasion routes ,population history ,"Strongest support for an evolutionary scenario in which European populations were derived from ancient admixture event populations from eastern Europe and Asia and subsequently served as the main bridgehead for introductions to the Americas. Introductions to California appear to be from a single source region and multiple, independednt introductions of divergent genotypes likely occured into the Pacific Northwest. ",,n,
4,Performance of one-class classifiers for invasive species mapping using airborne imaging spectroscopy,"Skowronek, Sandra; Asner, Gregory P; Feilhauer, Hannes",Ecological Informatics,2017,37,,,66,76,10.1016/j.ecoinf.2016.11.005 ,1,,,,USA,North America,,,Jasper Ridge Biological Preserve,,,,,,grasslands,observational ,in situ,"data acquisition (airborne taxonomic mapping system), field dataset collection, measurments (Trimble GeoXT 2005 GPS), spectral profile extraction, visual estimations",hyperspectral imaging,weed management ,Airborne imaging spectroscopy data with a high spatial resolution enable a detection of C. solstitialis before flowering.,,n,
5,"Modeling the relative importance of ecological factors in exotic invasion: The origin of competitors matters, but disturbance in the non-native range tips the balance ","Xiao, Sa; Callaway, Ragan M; Graebner, Ryan; Hierro Jose L; Montesinos D ",Ecological Modelling,2016,335,,,39,47,10.1016/j.ecolmodel.2016.05.005,0,,,,"Spain, USA","North America, Europe",,,University of Coimbra?,,,,,,common greenhouse,manipulative,ex situ,"harvesting, weighting, counting, RII,  dual lattice model",role of different ecological factors in invasion,,"The model primarily points to biogeographical differences in the effects of disturbance, with other factors appearing to be secondary. The ruderalization of native Califonial ngrasslands could be key to facilitating invasive processes by exotic species pre adapted to high disturbance regimes. ","9, 20",y,"biomass, flowers, seed-set"
6,Rust pathogen Puccinia jaceae is established on yellow starthistle (Centaurea solstitialis) in Oregon,"Bruckart III, WL;  Michael, JL;  Coombs, EM;  Pirosko, CB",Plant Disease,2016,100,5,,1009,,10.1094/PDIS-09-15-1042-PDN,0,,,,USA,North America,,,7 sites in Oregon,USDA-ARS-FDWSRU,,,,,field/greenhouse,observational/manipulative,in situ/ex situ,"survey, visual inspection, collection, measurments, inoculation, genetic analysis (ITS1, 5.8S, ITS2)",biological control,,"This is first confirmation of permanent establishment and spread of Puccinia jaceae Otth var. solstitialis on C. solstitialis outside of California where, after inoculations at 176 sites in 40 counties, it has become permanently established only in Sonoma Co., near San Pablo Bay. ",,y,presence of uredinia on leaf
7,Invasive grasses consistently create similar plant-soil feedback types in soils collected from geographically distant locations,"Perkins, LB; Hatfield G, Espeland EK",Journal of Plant Ecology,2016,9,2,,180,186,10.1093/jpe/rtv040 ,0,,,,USA,North America,,,"Reno, Nevada",,,,,,greenhouse,manipulative,ex situ,"collection, harvesting, nutrient and texture analysis, soil conditioning, weighting, relative effect index",interactions,,"Invasive plant soil feedbacks (PSFs) are an ecological interaction that depends both on species identity and soil context. Only two of the four invasive species tested in this experiment consistently created invasive PSF types. C.Êsolstitialis was inconsistent: in one soil, no feedback was created; in other soil, an invasive PsF was created and in the last soil, a feedback that relatively benefited the native phytometer was created.",6,y,biomass
8,Bee visitation patterns of Centaurea solstitialis L. (Asteraceae) in an urban environment in northwestern Turkey,"Olsen, AM; Mallula, ML; Tosunoglu, A; Cakmak, I; Hranitz, J; Barthell, J; Gonzalez, V",Integrative and Comparative Biology,2016,56,,1,E344,,,,Annual Meeting of the Society for Integrative and Comparative Biology ,"July, 2016",,Turkey,Eurasia,40.2248¡ N,28.8781¡E,Uludag University campus in Bursa,,,,,,"urban, abandoned lots",observational,in situ,"visual observation, survey, measurments ",interactions,bee visitations patterns in native range,Analyses of pollen loads as well as direct observations of bee foraging behavior suggest that a large number of bees visit C. solstitialis for nectar only. These results are similar to previous observations on native populations of C. solstitialis in natural or semi-natural landscapes. They also support the observed differences in the pollinator interactions of C. solstitialis across continents,,y,nectar
9,Calcium oxalate crystals in some species of the tribe Cardueae (Asteraceae),"Kartal, Ciler",Botanical Sciences,2016,94,1,,107,119,10.17129/botsci.259,0,,,,Turkey,Eurasia,,,"Trakya Uiversity, Edirne",,,,,,laboratory,manipulative,ex situ,"collection, identification, dissection, light microscopy, histochemical determination, calcium oxalate crystals examination and measurments",taxonomy,diagnostic character,"Styloids were observed in the corolla cells and in the endothecial layer of the anther. Small prismatics were present in the ovary cells, while no crystals were found in the other tissues and organs. ",,n,
10,Invasive and non invasive congeneric Centaurea (Asteraceae) show contrasting patterns of herbivory by snails,"Filipe, JC; Jorge, A; Eren, O; Sotes, G; Hierro, J; Montesinos, D",Plant Ecology and Evolution,2016,149,2,,228,232,10.5091/plecevo.2016.1231,0,,,,"Argentina, Turkey, Spain, Chile, USA, Australia","North America, Europe, Eurasia, South America, Australia",,,University of Coimbra ,,,,,,common garden,manipulative,ex situ,"weighting, growth rate calculation",shifting defense,,"Results are partially supportive of the Shifting Defence Hypothesis (SDH), with the invasive species C. solstitialis showing a tendency towards reducing growth of generalist herbivores in its American non-native range, and the non-invasive C. sulphurea showing the opposite pattern.  For snails fed with the invasive C. solstitialis significant differences were also found among regions, but the response was more complex, depending on population, with snails fed with Turkish and Australian plants presenting higher growth rates than the rest of the regions ",,y,"plant growth rates, snail biomass"
